LINK	ANODE	BNODE	LENGTH	SETBACK_A	SETBACK_B	BEARING_A	BEARING_B	TYPE	LANES_AB	LEFT_AB	RIGHT_AB	SPEED_AB	FSPD_AB	CAP_AB	LANES_BA	LEFT_BA	RIGHT_BA	SPEED_BA	FSPD_BA	CAP_BA	USE
202	102	113	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
203	103	114	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
204	104	115	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
205	105	116	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
206	106	117	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
207	107	118	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
208	108	119	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
209	109	120	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
210	110	121	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
211	111	112	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
212	112	113	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
213	113	114	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
214	114	115	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
215	115	116	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
216	116	117	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
217	117	118	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
218	118	119	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
219	119	120	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
220	120	121	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
